calcio      Fussball   kopana     futball
caldo       warm       horky      forro
calmo       ruhig      bezvetrny  nyugodt
calzoni     Hose       kalhoty    nadrag
cambiare    tauschen   zmenit     valtozni
cambio      Umtausch   zmena      valtozas
camera      Raum       misto      szoba
cane        Hund       pes        kutya
cantare     singen     zpivat     enekelni
canto       Lied       pisen      enek
capelli     Haar       vlas       haj
capo        Kopf       hlava      fej
carota      Mohrrube   mrkev      sargarepa
casa        Haus       dum        haz
castello    Schloss    hrad       var
